Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Édison Alberto Molina",Killed,"September 11, 2013",Colombia,"Puerto Berrío Stereo",Confirmed,Murder,https://cpj.org/data/people/edison-alberto-molina/
"Eduard Markevich",Killed,"September 18, 2001",Russia,"Novy Reft",Confirmed,Murder,https://cpj.org/data/people/eduard-markevich/
"Eduardo Carvalho",Killed,"November 21, 2012",Brazil,"Última Hora News",Confirmed,Murder,https://cpj.org/data/people/eduardo-carvalho/
"Eduardo Dizon",Killed,"July 10, 2019",Philippines,"Brigada News FM",Confirmed,Murder,https://cpj.org/data/people/eduardo-dizon/
"Edward Chikomba",Killed,"March 31, 2007",Zimbabwe,"Zimbabwe Broadcasting Corporation (former)",Confirmed,Murder,https://cpj.org/data/people/edward-chikomba/
"Efraín Varela Noriega",Killed,"June 28, 2002",Colombia,"Radio Meridiano-70",Confirmed,Murder,https://cpj.org/data/people/efrain-varela-noriega/
"Ejaz Raisani",Killed,"September 6, 2010",Pakistan,"Samaa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ejaz-raisani/
"Ejazul Haq",Killed,"May 28, 2010",Pakistan,"City-42 TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ejazul-haq/
"El-Hadj Mohamed Diallo",Killed,"February 5, 2016",Guinea,"Guinée7, Afrik",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/el-hadj-mohamed-diallo/
"Eldy Sablas (aka Eldy Gabinales)",Killed,"October 19, 2004",Philippines,"Radio DXJR-FM",Confirmed,Murder,https://cpj.org/data/people/eldy-sablas-aka-eldy-gabinales/
"Elidio Ramos Zárate",Killed,"June 19, 2016",Mexico,"El Sur",Confirmed,Murder,https://cpj.org/data/people/elidio-ramos-zarate/
"Eliseo Barrón Hernández",Killed,"May 25, 2009",Mexico,"La Opinión",Confirmed,Murder,https://cpj.org/data/people/eliseo-barron-hernandez/
"Elmar Huseynov",Killed,"March 2, 2005",Azerbaijan,Monitor,Confirmed,Murder,https://cpj.org/data/people/elmar-huseynov/
"Elpidio Binoya",Killed,"June 17, 2004",Philippines,"Radyo Natin",Confirmed,Murder,https://cpj.org/data/people/elpidio-binoya/
"Elsa Cayat",Killed,"January 7, 2015",France,Freelance,Confirmed,Murder,https://cpj.org/data/people/elsa-cayat/
"Elyas Dayee",Killed,"November 12, 2020",Afghanistan,"Radio Free Europe/Radio Liberty",Confirmed,Murder,https://cpj.org/data/people/elyas-dayee-2/
"Enenche Akogwu",Killed,"January 20, 2012",Nigeria,"Channels TV",Confirmed,Murder,https://cpj.org/data/people/enenche-akogwu/
"Enzo Baldoni",Killed,"August 26, 2004",Iraq,Freelance,Confirmed,Murder,https://cpj.org/data/people/enzo-baldoni/
"Ernesto Maravilla",Killed,"November 23, 2009",Philippines,"Bombo Radyo",Confirmed,Murder,https://cpj.org/data/people/ernesto-maravilla/
"Ernie Rollin",Killed,"February 23, 2009",Philippines,"DXSY Radio",Confirmed,Murder,https://cpj.org/data/people/ernie-rollin/
"Ersa Siregar",Killed,"December 29, 2003",Indonesia,"Rajawali Citra Televisi",Confirmed,Crossfire,https://cpj.org/data/people/ersa-siregar/
"Essam Abdullah",Killed,"November 20, 2022",Syria,"Hawar News Agency",Confirmed,Crossfire,https://cpj.org/data/people/essam-abdullah/
"Evany José Metzker",Killed,"May 13, 2015",Brazil,"Coruja do Vale",Confirmed,Murder,https://cpj.org/data/people/evany-jose-metzker/
"Evariste Djailoramdji",Killed,"February 9, 2022",Chad,"Lotiko Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/evariste-djailoramdji/
"Fabio Polenghi",Killed,"May 19, 2010",Thailand,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/fabio-polenghi/
"Facely Camara",Killed,"September 16, 2014",Guinea,"Liberté FM",Confirmed,Murder,https://cpj.org/data/people/facely-camara/
"Fadel al-Hadidi",Killed,"January 1, 2015",Iraq,"Mosul al-Youm; Sada al-Iraq",Confirmed,Murder,https://cpj.org/data/people/fadel-al-hadidi/
"Fadel Shana",Killed,"April 16, 2008","Israel and the Occupied Palestinian Territory",Reuters,Confirmed,Crossfire,https://cpj.org/data/people/fadel-shana/
"Fadhil Hazem Fadhil",Killed,"April 14, 2005",Iraq,Al-Hurriya,Confirmed,Crossfire,https://cpj.org/data/people/fadhil-hazem-fadhil/
"Fadi Hassouna",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/fadi-hassouna/
"Fadila Nejma",Killed,"June 14, 2001",Algeria,Echourouk,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/fadila-nejma/
"Faisal Abu Al Qumsan",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/faisal-abu-al-qumsan/
"Faisal Arefin Dipan",Killed,"October 31, 2015",Bangladesh,"Jagriti Prokashoni",Confirmed,Murder,https://cpj.org/data/people/faisal-arefin-dipan/
"Faisal Qureshi",Killed,"October 7, 2011",Pakistan,"The London Post",Confirmed,Murder,https://cpj.org/data/people/faisal-qureshi/
"Fakher Haider",Killed,"September 19, 2005",Iraq,"The New York Times",Confirmed,Murder,https://cpj.org/data/people/fakher-haider/
"Falah Khalaf al-Diyali",Killed,"January 15, 2007",Iraq,Al-Sa'a,Confirmed,Murder,https://cpj.org/data/people/falah-khalaf-al-diyali/
"Farah Omar",Killed,"November 21, 2023",Lebanon,"Al-Mayadeen TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/farah-omar/
"Fares Hamadi",Killed,"October 30, 2015",Turkey,"Eye on the Homeland",Confirmed,Murder,https://cpj.org/data/people/fares-hamadi/
"Farhad Taqaddosi",Killed,"September 20, 2011",Afghanistan,"Press TV",Confirmed,Crossfire,https://cpj.org/data/people/farhad-taqaddosi/
"Farhan Jeemis Abdulle",Killed,"May 2, 2012",Somalia,"Radio Daljir and Simba Radio",Confirmed,Murder,https://cpj.org/data/people/farhan-jeemis-abdulle/
"Faris Abdo Ali al-Rumaisa",Killed,"September 10, 2025",Yemen,"26 September and Yemen newspapers",Confirmed,Murder,https://cpj.org/data/people/faris-abdo-ali-al-rumaisa/
"Farouk al-Zahir",Killed,"March 21, 2025",Sudan,"Sudan TV",Confirmed,"Crossfire / Combat Related",https://cpj.org/data/people/farouk-al-zahir/
"Fatma Hassona",Killed,"April 16, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/fatma-hassona/
"Fausto Gabriel Alcaraz Garay",Killed,"May 16, 2014",Paraguay,"Radio Amambay",Confirmed,Murder,https://cpj.org/data/people/fausto-gabriel-alcaraz-garay/
"Fazal Wahab",Killed,"January 21, 2003",Pakistan,Freelance,Confirmed,Murder,https://cpj.org/data/people/fazal-wahab/
"Federico Gempesaw",Killed,"June 29, 2022",Philippines,"Radyo Natin 106.3 FM CDO",Confirmed,Murder,https://cpj.org/data/people/federico-gempesaw/
"Feng Zhaoxia",Killed,"January 15, 2001",China,"Gejie Daobao",Confirmed,Murder,https://cpj.org/data/people/feng-zhaoxia/
"Fernando Batul",Killed,"May 22, 2006",Philippines,"DZRH and DYPR",Confirmed,Murder,https://cpj.org/data/people/fernando-batul/
"Fernando Razon",Killed,"November 23, 2009",Philippines,"Periodico Ini",Confirmed,Murder,https://cpj.org/data/people/fernando-razon/
"Fernando Solijon",Killed,"August 29, 2013",Philippines,"DxLS Love Radio",Confirmed,Murder,https://cpj.org/data/people/fernando-solijon/
"Ferzat Jarban",Killed,"November 19, 2011",Syria,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ferzat-jarban/
"Fesshaye ""Joshua"" Yohannes",Killed,"January 1, 2007",Eritrea,Setit,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/fesshaye-joshua-yohannes/
"Fidaa al-Baali",Killed,"July 5, 2013",Syria,"Orient News",Confirmed,Crossfire,https://cpj.org/data/people/fidaa-al-baali/
"Filadelfo Sánchez Sarmiento",Killed,"July 2, 2015",Mexico,"La Favorita 103.3FM La Voz de la Sierra Sur",Confirmed,Murder,https://cpj.org/data/people/filadelfo-sanchez-sarmiento/
"Filaih Wuday Mijthab",Killed,"June 17, 2007",Iraq,Al-Sabah,Confirmed,Murder,https://cpj.org/data/people/filaih-wuday-mijthab/
"Firas al-Baher",Killed,"May 1, 2015",Iraq,"Nineveh al-Ghad",Confirmed,Murder,https://cpj.org/data/people/firas-al-baher/
"Firas Maadidi",Killed,"September 20, 2005",Iraq,"As-Saffir and Al-Masar",Confirmed,Murder,https://cpj.org/data/people/firas-maadidi/
"Firas Mohammed Attiyah",Killed,"January 20, 2014",Iraq,"Fallujah TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/firas-mohammed-attiyah/
"Fiston Wilondja",Killed,"August 4, 2025","Democratic Republic of the Congo",Freelance,Confirmed,Murder,https://cpj.org/data/people/fiston-wilondja/
"Flavio Bedoya",Killed,"April 27, 2001",Colombia,Voz,Confirmed,Murder,https://cpj.org/data/people/flavio-bedoya/
"Flor Alba Núñez Vargas",Killed,"September 10, 2015",Colombia,"Red Noticias and La Preferida Estereo",Confirmed,Murder,https://cpj.org/data/people/flor-alba-nunez-vargas/
"Francis Nyaruri",Killed,"January 1, 2009",Kenya,"Weekly Citizen",Confirmed,Murder,https://cpj.org/data/people/francis-nyaruri/
"Francisca Sandoval",Killed,"May 12, 2022",Chile,"Canal Señal 3 La Victoria",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/francisca-sandoval/
"Francisco Arratia Saldierna",Killed,"August 31, 2004",Mexico,Freelance,Confirmed,Murder,https://cpj.org/data/people/francisco-arratia-saldierna/
"Francisco Gomes de Medeiros",Killed,"October 18, 2010",Brazil,"Radio Caicó",Confirmed,Murder,https://cpj.org/data/people/francisco-gomes-de-medeiros/
"Francisco Javier Ortiz Franco",Killed,"June 22, 2004",Mexico,Zeta,Confirmed,Murder,https://cpj.org/data/people/francisco-javier-ortiz-franco/
"Francisco Javier Ramírez",Killed,"December 21, 2023",Honduras,"Channel 24 Danlí",Confirmed,Murder,https://cpj.org/data/people/francisco-javier-ramirez/
"Francisco Romero Díaz",Killed,"May 16, 2019",Mexico,"Quintana Roo Hoy,Ocurrió Aquí,Quinta Fuerza",Confirmed,Murder,https://cpj.org/data/people/francisco-romero-diaz/
"Frantzsen Charles",Killed,"September 11, 2022",Haiti,"FS News Haiti",Confirmed,Murder,https://cpj.org/data/people/frantzsen-charles/
"Frédéric Leclerc-Imhoff",Killed,"May 30, 2022",Ukraine,BFMTV,Confirmed,Crossfire,https://cpj.org/data/people/frederic-leclerc-imhoff/
"Gadzhimurad Kamalov",Killed,"December 15, 2011",Russia,Chernovik,Confirmed,Murder,https://cpj.org/data/people/gadzhimurad-kamalov/
"Garry Tesse",Killed,"October 18, 2022",Haiti,"Radio Lebon FM",Confirmed,Murder,https://cpj.org/data/people/garry-tesse/
"Gastón Medina",Killed,"January 20, 2025",Peru,"Cadena Sur",Confirmed,Murder,https://cpj.org/data/people/gaston-medina/
"Gauri Lankesh",Killed,"September 5, 2017",India,"Gauri Lankesh Patrike",Confirmed,Murder,https://cpj.org/data/people/gauri-lankesh/
"Gautam Das",Killed,"November 17, 2005",Bangladesh,Samakal,Confirmed,Murder,https://cpj.org/data/people/gautam-das/
"Gebran Tueni",Killed,"December 12, 2005",Lebanon,Al-Nahar,Confirmed,Murder,https://cpj.org/data/people/gebran-tueni/
"Gelson Domingos da Silva",Killed,"November 6, 2011",Brazil,"Bandeirantes TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/gelson-domingos-da-silva/
"Gene Boyd Lumawag",Killed,"November 12, 2004",Philippines,MindaNews,Confirmed,Murder,https://cpj.org/data/people/gene-boyd-lumawag/
"Gennady Pavlyuk (Ibragim Rustambek)",Killed,"December 22, 2009",Kazakhstan,"Bely Parokhod",Confirmed,Murder,https://cpj.org/data/people/gennady-pavlyuk-ibragim-rustambek/
"George Abanga",Killed,"September 10, 2015",Ghana,"Success FM, Peace FM",Confirmed,Murder,https://cpj.org/data/people/george-abanga/
"George Vigo",Killed,"June 19, 2006",Philippines,"Union of Catholic Asian News",Confirmed,Murder,https://cpj.org/data/people/george-vigo/
"Georges Wolinski",Killed,"January 7, 2015",France,"Charlie Hebdo",Confirmed,Murder,https://cpj.org/data/people/georges-wolinski/
"Georgy Sanaya",Killed,"July 26, 2001",Georgia,Rustavi-2,Confirmed,Murder,https://cpj.org/data/people/georgy-sanaya/
"Gerald Fischman",Killed,"June 28, 2018",USA,"Capital Gazette",Confirmed,Murder,https://cpj.org/data/people/gerald-fischman/
"Gerardo Ceferino Servían",Killed,"March 5, 2015",Brazil,"Ciudad Nueva FM",Confirmed,Murder,https://cpj.org/data/people/gerardo-ceferino-servian/
"Germain Cyrille Ngota Ngota",Killed,"April 22, 2010",Cameroon,"Cameroon Express",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/germain-cyrille-ngota-ngota/
"Germain Kennedy Mumbere Muliwavyo",Killed,"February 16, 2014","Democratic Republic of the Congo","Radio Télévision Muungano",Confirmed,Crossfire,https://cpj.org/data/people/germain-kennedy-mumbere-muliwavyo/
"German Vallecillo Jr.",Killed,"July 1, 2020",Honduras,"Canal 45TV",Confirmed,Murder,https://cpj.org/data/people/german-vallecillo-jr/
"Gerry Ortega",Killed,"January 24, 2011",Philippines,DWAR,Confirmed,Murder,https://cpj.org/data/people/gerardo-ortega/
"Ghaith Abd al-Jawad",Killed,"March 10, 2013",Syria,"Qaboun Media Center",Confirmed,Crossfire,https://cpj.org/data/people/ghaith-abd-al-jawad/
"Gharib Mohamed Salih",Killed,"February 1, 2004",Iraq,"Kurdistan TV",Confirmed,Crossfire,https://cpj.org/data/people/gharib-mohamed-salih/
"Ghassan Najjar",Killed,"October 25, 2024",Lebanon,Al-Mayadeen,Confirmed,Murder,https://cpj.org/data/people/ghassan-najjar/
"Ghazi Rasooli",Killed,"April 30, 2018",Afghanistan,1TV,Confirmed,Murder,https://cpj.org/data/people/ghazi-rasooli/
"Ghislaine Dupont",Killed,"November 2, 2013",Mali,"Radio France Internationale",Confirmed,Murder,https://cpj.org/data/people/ghislaine-dupont/
"Ghulam Rasool",Killed,"August 28, 2014",Pakistan,"Online International News Network",Confirmed,Murder,https://cpj.org/data/people/ghulam-rasool/
"Ghulam Rasool Birhamani",Killed,"May 9, 2010",Pakistan,"Daily Sindhu Hyderabad",Confirmed,Murder,https://cpj.org/data/people/ghulam-rasool-birhamani/
"Gilles Jacquier",Killed,"January 11, 2012",Syria,"France 2",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/gilles-jacquier/
"Gina Dela Cruz",Killed,"November 23, 2009",Philippines,"Saksi News",Confirmed,Murder,https://cpj.org/data/people/gina-dela-cruz/
"Giorgos Karaivaz",Killed,"April 9, 2021",Greece,"Bloko,Star TV",Confirmed,Murder,https://cpj.org/data/people/giorgos-karaivaz/
"Givanildo Oliveira",Killed,"February 7, 2022",Brazil,"Pirambu News",Confirmed,Murder,https://cpj.org/data/people/givanildo-oliveira/
"Gleydson Carvalho",Killed,"August 6, 2015",Brazil,"Radio Liberdade FM 90.3",Confirmed,Murder,https://cpj.org/data/people/gleydson-carvalho/
"Golam Rabbani Nadim",Killed,"June 14, 2023",Bangladesh,Freelance,Confirmed,Murder,https://cpj.org/data/people/golam-rabbani-nadim/
"Gregorio Jiménez de la Cruz",Killed,"February 5, 2014",Mexico,"Notisur and Liberal del Sur",Confirmed,Murder,https://cpj.org/data/people/gregorio-jimenez-de-la-cruz/
"Gregorio Rodríguez Hernández",Killed,"November 28, 2004",Mexico,"El Debate",Confirmed,Murder,https://cpj.org/data/people/gregorio-rodriguez-hernandez/
"Grigol Chikhladze",Killed,"August 10, 2008",Georgia,"Caucasus Images",Confirmed,Crossfire,https://cpj.org/data/people/grigol-chikhladze/
"Guillaume Barreau-Decherf",Killed,"November 13, 2015",France,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/guillaume-barreau-decherf/
"Guillermo Bravo Vega",Killed,"April 28, 2003",Colombia,"Alpevisión Radio",Confirmed,Murder,https://cpj.org/data/people/guillermo-bravo-vega/
"Guillermo Quiroz Delgado",Killed,"November 27, 2012",Colombia,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/guillermo-quiroz-delgado/
"Gulistan Tara",Killed,"August 22, 2024",Iraq,"Chatr Multimedia Production Company",Confirmed,Murder,https://cpj.org/data/people/gulistan-tara/
"Gundars Matiss",Killed,"November 28, 2001",Latvia,"Kurzeme Vards",Confirmed,Murder,https://cpj.org/data/people/gundars-matiss/
"Güngör Arslan",Killed,"February 19, 2022",Turkey,"Ses Kocaeli",Confirmed,Murder,https://cpj.org/data/people/gungor-arslan/
"Gustavo Rojas Gabalo",Killed,"March 20, 2006",Colombia,"Radio Panzenú",Confirmed,Murder,https://cpj.org/data/people/gustavo-rojas-gabalo/
"Gustavo Sánchez Cabrera",Killed,"June 17, 2021",Mexico,"Panorama Pacífico,Noticias Minuto a Minuto",Confirmed,Murder,https://cpj.org/data/people/gustavo-sanchez-cabrera/
"Gyanendra Khadka",Killed,"September 7, 2003",Nepal,"Rastriya Samachar Samiti",Confirmed,Murder,https://cpj.org/data/people/gyanendra-khadka/
"Habiba Ahmed Abd Elaziz",Killed,"August 14, 2013",Egypt,Al-Jazeera,Confirmed,Crossfire,https://cpj.org/data/people/habiba-ahmed-abd-elaziz/
"Habibollah Hosseinzadeh",Killed,"May 31, 2017",Afghanistan,"Press TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/habibollah-hosseinzadeh/
"Hadi al-Mahdi",Killed,"September 8, 2011",Iraq,Freelance,Confirmed,Murder,https://cpj.org/data/people/hadi-al-mahdi/
"Haidar al-Hussein",Killed,"May 22, 2008",Iraq,Al-Sharq,Confirmed,Murder,https://cpj.org/data/people/haidar-al-hussein/
"Haidar Hashim Suhail",Killed,"March 10, 2009",Iraq,"Al-Baghdadia TV",Confirmed,Crossfire,https://cpj.org/data/people/haidar-hashim-suhail/
"Halima Idris Salim",Killed,"October 10, 2023",Sudan,"Sudan Bukra",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/halima-idris-salim/
"Hamada Al-Yaziji",Killed,"December 3, 2023","Israel and the Occupied Palestinian Territory","Kanaan News Agency, Al-Quds Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hamada-al-yaziji/
"Hamid Abed Sarhan",Killed,"June 26, 2007",Iraq,Freelance,Confirmed,Murder,https://cpj.org/data/people/hamid-abed-sarhan/
"Hamid al-Duleimi",Killed,"March 17, 2007",Iraq,Nahrain,Confirmed,Murder,https://cpj.org/data/people/hamid-al-duleimi/
"Hamoud al-Jnaid",Killed,"November 23, 2018",Syria,"Radio Fresh",Confirmed,Murder,https://cpj.org/data/people/hamoud-al-jnaid/
"Hamza Al Dahdouh",Killed,"January 7, 2024","Israel and the Occupied Palestinian Territory",Al-Jazeera,Confirmed,Murder,https://cpj.org/data/people/hamza-al-dahdouh/
"Hamza Murtaja",Killed,"August 20, 2024","Israel and the Occupied Palestinian Territory","Record Media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hamza-murtaja/
"Hanan Adam",Killed,"December 8, 2024",Sudan,Al-Midan,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hanan-adam/
"Haneen Baroud",Killed,"October 27, 2024","Israel and the Occupied Palestinian Territory","Al Majedat Media Network",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/haneen-baroud/
"Haneen Kashtan",Killed,"December 17, 2023","Israel and the Occupied Palestinian Territory","TV Al-Kofiya,Baladna Web TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/haneen-kashtan/
"Hang Serei Odom",Killed,"September 11, 2012",Cambodia,"Virakchun Khmer Daily",Confirmed,Murder,https://cpj.org/data/people/hang-serei-odom/
"Hannibal Cachuela",Killed,"November 23, 2009",Philippines,"Punto News",Confirmed,Murder,https://cpj.org/data/people/hannibal-cachuela/
"Harb Hazzah al-Duleimi",Killed,"July 7, 2017",Iraq,"Hona Salaheddin",Confirmed,Crossfire,https://cpj.org/data/people/harb-hazzah-al-duleimi/
"Harry Burton",Killed,"November 19, 2001",Afghanistan,"Reuters Television",Confirmed,Murder,https://cpj.org/data/people/harry-burton/
"Harry Yansaneh",Killed,"July 28, 2005","Sierra Leone","For Di People",Confirmed,Murder,https://cpj.org/data/people/harry-yansaneh/
"Harunur Rashid",Killed,"March 2, 2002",Bangladesh,"Dainik Purbanchal",Confirmed,Murder,https://cpj.org/data/people/harunur-rashid/
"Hasan Mehedi",Killed,"July 18, 2024",Bangladesh,"Dhaka Times",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hasan-mehedi/
"Hashim al-Hamran",Killed,"January 22, 2016",Yemen,"Al-Masirah TV",Confirmed,Crossfire,https://cpj.org/data/people/hashim-al-hamran/
"Hassan Abu Warda",Killed,"May 25, 2025","Israel and the Occupied Palestinian Territory","Barq Gaza",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-abu-warda/
"Hassan al-Anbaki",Killed,"January 12, 2016",Iraq,Al-Sharqiya,Confirmed,Murder,https://cpj.org/data/people/hassan-al-anbaki/
"Hassan Al-Qishawi",Killed,"January 2, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-al-qishawi/
"Hassan al-Wadhaf",Killed,"September 24, 2011",Yemen,"Arabic Media Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-al-wadhaf/
"Hassan Douhan",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory","Al-Hayat Al-Jadida newspaper",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-douhan/
"Hassan Fadl Al-Mawla Mousa",Killed,"May 2, 2025",Sudan,"West Kordofan Radio | Sudan National Radio Corporation | Beladi 96.6 FM",Confirmed,"Crossfire / Combat Related",https://cpj.org/data/people/hassan-fadl-al-mawla-mousa/
"Hassan Kafi Hared",Killed,"January 28, 2008",Somalia,"Somali National News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-kafi-hared/
"Hassan Mayow Hassan",Killed,"January 1, 2009",Somalia,"Radio Shabelle",Confirmed,Murder,https://cpj.org/data/people/hassan-mayow-hassan/
"Hassan Osman Abdi",Killed,"January 28, 2012",Somalia,"Shabelle Media Network",Confirmed,Murder,https://cpj.org/data/people/hassan-osman-abdi/
"Hassan Samour",Killed,"May 15, 2025","Israel and the Occupied Palestinian Territory","Al Aqsa Voice Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassan-samour/
"Hassan Yusuf Absuge",Killed,"September 21, 2012",Somalia,"Radio Maanta",Confirmed,Murder,https://cpj.org/data/people/hassan-yusuf-absuge/
"Hassan Zubeyr",Killed,"December 3, 2009",Somalia,Al-Arabiya,Confirmed,Crossfire,https://cpj.org/data/people/hassan-zubeyr/
"Hassouneh Salim",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hassouneh-salim/
"Hatem Abu Yehia",Killed,"August 10, 2012",Syria,Al-Ikhbariya,Confirmed,Unknown,https://cpj.org/data/people/hatem-abu-yehia/
"Hawker Faisal Mohammed",Killed,"October 13, 2017",Syria,"Hawar News Agency (ANHA)",Confirmed,Crossfire,https://cpj.org/data/people/hawker-faisal-mohammed/
"Hayatullah Khan",Killed,"June 16, 2006",Pakistan,Freelance,Confirmed,Murder,https://cpj.org/data/people/hayatullah-khan/
"Haymin Mohamed Salih",Killed,"February 1, 2004",Iraq,"Qulan TV",Confirmed,Crossfire,https://cpj.org/data/people/haymin-mohamed-salih/
"Heba Al-Abadla",Killed,"January 9, 2024","Israel and the Occupied Palestinian Territory","Al-Azhar Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/heba-al-abadla/
"Heber López Vásquez",Killed,"February 10, 2022",Mexico,"NoticiasWeb,RCP Noticias",Confirmed,Murder,https://cpj.org/data/people/heber-lopez-vasquez/
"Héctor Ramírez",Killed,"July 24, 2003",Guatemala,"Noti7 and Radio Sonora",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hector-ramirez/
"Héctor Sandoval",Killed,"April 12, 2002",Colombia,"RCN Televisión",Confirmed,Crossfire,https://cpj.org/data/people/hector-sandoval/
"Henry Araneta",Killed,"November 23, 2009",Philippines,DZRH,Confirmed,Murder,https://cpj.org/data/people/henry-araneta/
Herliyanto,Killed,"April 29, 2006",Indonesia,"Radar Surabaya and Jimber News Visioner",Confirmed,Murder,https://cpj.org/data/people/herliyanto/
"Hero Bahadin",Killed,"August 22, 2024",Iraq,"Chatr Multimedia Production Company, Sterk TV",Confirmed,Murder,https://cpj.org/data/people/hero-bahadin/
"Herson Hinolan",Killed,"November 13, 2004",Philippines,"Bombo Radyo",Confirmed,Murder,https://cpj.org/data/people/herson-hinolan/
"Hilmi al-Faqaawi",Killed,"April 7, 2025","Israel and the Occupied Palestinian Territory","Palestine Today TV",Confirmed,Murder,https://cpj.org/data/people/hilmi-al-faqaawi/
"Hind Ismail",Killed,"September 17, 2005",Iraq,As-Saffir,Confirmed,Murder,https://cpj.org/data/people/hind-ismail/
"Hindia Haji Mohamed",Killed,"December 3, 2015",Somalia,"Radio Mogadishu, Somali National TV",Confirmed,Murder,https://cpj.org/data/people/hindia-haji-mohamed/
"Hiro Muramoto",Killed,"April 10, 2010",Thailand,Reuters,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hiro-muramoto/
"Hisham Alnwajha",Killed,"October 9, 2023","Israel and the Occupied Palestinian Territory","“Khabar” News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hisham-alnwajha/
"Hisham Fares al-Adhami",Killed,"October 4, 2019",Iraq,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hisham-fares-al-adhami/
"Hosein Naderi",Killed,"March 11, 2023",Afghanistan,"Afghan Voice Agency",Confirmed,Murder,https://cpj.org/data/people/hosein-naderi/
"Hossam Shabat",Killed,"March 24, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/hossam-shabat/
"Hozan Abdel Halim Mahmoud",Killed,"November 19, 2012",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/hozan-abdel-halim-mahmoud/
"Hrant Dink",Killed,"January 19, 2007",Turkey,Agos,Confirmed,Murder,https://cpj.org/data/people/hrant-dink/
"Htet Myat Thu",Killed,"August 20, 2024",Myanmar,Freelance,Confirmed,Murder,https://cpj.org/data/people/htet-myat-thu/
"Humam Najjar (Abu Yazan al-Halabi)",Killed,"April 16, 2015",Syria,"Aleppo Today",Confirmed,Crossfire,https://cpj.org/data/people/humam-najjar-abu-yazan-al-halabi/
"Humayun Kabir",Killed,"June 24, 2004",Bangladesh,Janmabhumi,Confirmed,Murder,https://cpj.org/data/people/humayun-kabir/
"Husam Mubarak",Killed,"October 13, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa Voice Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/husam-mubarak/
"Hussain Nazari",Killed,"November 17, 2017",Afghanistan,"Rah-E-Farda Radio and Television",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hussain-nazari/
"Hussam al-Dabbaka",Killed,"August 22, 2024","Israel and the Occupied Palestinian Territory","Freelance, Al Quds Al-Youm",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hussam-al-dabbaka/
